strategy,R,P_max,loop_rate,ci_lo,ci_hi,n
lt_adaptive,6,45,0.0,0.0,0.0,150
lt_adaptive,6,60,0.0,0.0,0.0,150
lt_adaptive,6,90,0.0,0.0,0.0,150
lt_adaptive,6,120,0.0,0.0,0.0,150
lt_adaptive,7,30,0.0,0.0,0.0,150
lt_adaptive,7,45,0.0,0.0,0.0,150
lt_adaptive,7,60,0.0,0.0,0.0,150
lt_adaptive,7,90,0.0,0.0,0.0,150
lt_adaptive,7,120,0.0,0.0,0.0,150
lt_dual_eps0.01,3,30,0.0,0.0,0.0,150
lt_dual_eps0.01,3,45,0.0,0.0,0.0,150
lt_dual_eps0.01,3,60,0.0,0.0,0.0,150
lt_dual_eps0.01,3,90,0.0,0.0,0.0,150
lt_dual_eps0.01,3,120,0.0,0.0,0.0,150
lt_dual_eps0.01,4,30,0.0,0.0,0.0,150
lt_dual_eps0.01,4,45,0.0,0.0,0.0,150
lt_dual_eps0.01,4,60,0.0,0.0,0.0,150
lt_dual_eps0.01,4,90,0.0,0.0,0.0,150
lt_dual_eps0.01,4,120,0.0,0.0,0.0,150
lt_dual_eps0.01,5,30,0.0,0.0,0.0,150
lt_dual_eps0.01,5,45,0.0,0.0,0.0,150
lt_dual_eps0.01,5,60,0.0,0.0,0.0,150
lt_dual_eps0.01,5,90,0.0,0.0,0.0,150
lt_dual_eps0.01,5,120,0.0,0.0,0.0,150
lt_dual_eps0.01,6,30,0.0,0.0,0.0,150
lt_dual_eps0.01,6,45,0.0,0.0,0.0,150
lt_dual_eps0.01,6,60,0.0,0.0,0.0,150
lt_dual_eps0.01,6,90,0.0,0.0,0.0,150
lt_dual_eps0.01,6,120,0.0,0.0,0.0,150
lt_dual_eps0.01,7,30,0.0,0.0,0.0,150
lt_dual_eps0.01,7,45,0.0,0.0,0.0,150
lt_dual_eps0.01,7,60,0.0,0.0,0.0,150
lt_dual_eps0.01,7,90,0.0,0.0,0.0,150
lt_dual_eps0.01,7,120,0.0,0.0,0.0,150
lt_dual_eps0.05,3,30,0.0,0.0,0.0,150
lt_dual_eps0.05,3,45,0.0,0.0,0.0,150
lt_dual_eps0.05,3,60,0.0,0.0,0.0,150
